indic_et,sitc06,partner,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
CONT_EXP_EU,TOTAL,EU28,AT	3.3 	3.3 	3.2 	3.3 	3.2 	3.2 	3.3 	3.2 	3.1 	3.1 	3.2 	3.2 
CONT_EXP_EU,TOTAL,EU28,BE	8.9 	9.0 	9.1 	8.8 	8.7 	8.6 	8.7 	8.5 	8.4 	8.3 	8.2 	8.2 
CONT_EXP_EU,TOTAL,EU28,BG	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 
CONT_EXP_EU,TOTAL,EU28,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
CONT_EXP_EU,TOTAL,EU28,CZ	2.9 	3.1 	3.1 	3.3 	3.5 	3.5 	3.5 	3.7 	3.9 	3.9 	4.0 	4.1 
CONT_EXP_EU,TOTAL,EU28,DE	23.4 	22.8 	22.7 	22.4 	22.3 	21.8 	21.8 	22.1 	22.6 	22.7 	22.4 	22.1 
CONT_EXP_EU,TOTAL,EU28,DK	2.0 	2.0 	2.1 	1.9 	1.9 	1.9 	1.9 	1.8 	1.7 	1.7 	1.7 	1.6 
CONT_EXP_EU,TOTAL,EU28,EE	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
CONT_EXP_EU,TOTAL,EU28,EL	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 
CONT_EXP_EU,TOTAL,EU28,ES	4.9 	4.9 	5.1 	5.2 	5.2 	5.2 	5.3 	5.3 	5.4 	5.6 	5.6 	5.5 
CONT_EXP_EU,TOTAL,EU28,EU28	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
CONT_EXP_EU,TOTAL,EU28,FI	1.4 	1.3 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	1.1 	1.1 
CONT_EXP_EU,TOTAL,EU28,FR	10.0 	9.8 	9.8 	9.4 	9.3 	9.2 	9.1 	9.0 	8.8 	8.6 	8.3 	8.3 
CONT_EXP_EU,TOTAL,EU28,HR	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 
CONT_EXP_EU,TOTAL,EU28,HU	2.1 	2.1 	2.2 	2.2 	2.2 	2.2 	2.2 	2.3 	2.4 	2.4 	2.4 	2.5 
CONT_EXP_EU,TOTAL,EU28,IE	2.1 	2.0 	2.3 	2.0 	1.9 	1.9 	1.8 	1.7 	1.9 	1.9 	1.9 	2.0 
CONT_EXP_EU,TOTAL,EU28,IT	8.4 	8.0 	7.7 	7.6 	7.5 	7.5 	7.4 	7.5 	7.4 	7.5 	7.5 	7.4 
CONT_EXP_EU,TOTAL,EU28,LT	0.3 	0.4 	0.3 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 	0.4 	0.5 	0.5 
CONT_EXP_EU,TOTAL,EU28,LU	0.5 	0.6 	0.6 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 
CONT_EXP_EU,TOTAL,EU28,LV	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.2 	0.2 	0.2 	0.3 
CONT_EXP_EU,TOTAL,EU28,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
CONT_EXP_EU,TOTAL,EU28,NL	11.7 	12.5 	12.5 	13.1 	13.1 	13.6 	13.5 	13.1 	12.7 	12.6 	13.0 	13.0 
CONT_EXP_EU,TOTAL,EU28,PL	3.0 	3.3 	3.5 	3.7 	3.8 	3.9 	4.1 	4.4 	4.6 	4.7 	4.9 	5.0 
CONT_EXP_EU,TOTAL,EU28,PT	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 
CONT_EXP_EU,TOTAL,EU28,RO	0.8 	0.9 	1.0 	1.1 	1.1 	1.1 	1.2 	1.3 	1.3 	1.4 	1.4 	1.5 
CONT_EXP_EU,TOTAL,EU28,SE	2.8 	2.7 	2.5 	2.7 	2.7 	2.7 	2.6 	2.5 	2.4 	2.4 	2.4 	2.4 
CONT_EXP_EU,TOTAL,EU28,SI	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.8 	0.8 
CONT_EXP_EU,TOTAL,EU28,SK	1.4 	1.5 	1.6 	1.6 	1.7 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 
CONT_EXP_EU,TOTAL,EU28,UK	7.0 	6.5 	6.3 	6.5 	6.5 	6.5 	6.2 	6.2 	6.0 	5.6 	5.6 	5.5 
CONT_IMP_EU,TOTAL,EU28,AT	3.6 	3.7 	3.7 	3.8 	3.9 	3.8 	3.8 	3.7 	3.6 	3.7 	3.7 	3.7 
CONT_IMP_EU,TOTAL,EU28,BE	8.1 	8.3 	8.3 	8.2 	8.2 	8.3 	8.2 	7.8 	7.1 	7.2 	7.1 	7.1 
CONT_IMP_EU,TOTAL,EU28,BG	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
CONT_IMP_EU,TOTAL,EU28,CY	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 
CONT_IMP_EU,TOTAL,EU28,CZ	2.6 	2.8 	2.7 	2.9 	3.0 	3.0 	3.0 	3.1 	3.3 	3.3 	3.4 	3.5 
CONT_IMP_EU,TOTAL,EU28,DE	19.1 	19.3 	20.0 	20.3 	20.8 	20.6 	20.7 	20.8 	20.7 	20.8 	20.8 	21.0 
CONT_IMP_EU,TOTAL,EU28,DK	2.0 	2.0 	1.9 	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 
CONT_IMP_EU,TOTAL,EU28,EE	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
CONT_IMP_EU,TOTAL,EU28,EL	1.4 	1.4 	1.4 	1.1 	0.9 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 
CONT_IMP_EU,TOTAL,EU28,ES	6.9 	6.4 	6.1 	5.9 	5.6 	5.1 	5.1 	5.4 	5.7 	5.7 	5.7 	5.6 
